bl,Smite 2 Username,Vetted Division,Smite 2 Tracker.gg Link,Discord Username,What was your placement in BSL season 1?,What division do you think you should be placed in?,What is your main Role,What is your secondary Role (If you have one),Are you interested in being a captain?,Availability [Mondays],Availability [Tuesdays],Availability [Wednesdays],Availability [Thursdays],Availability [Fridays],Availability [Saturdays],Availability [Sundays],BSL is a Saturday League;  Do you acknowledge that default will be on Saturday and that you have to the best of your understanding the day available to play? 
12/1/2025 11:57:50,Ner0K5,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198422208952/overview?gamemode=conquest-ranked&season=3,Ner03220,Enkidu,Gilgamesh,Jungle,Mid,Yes,Yes,No,Yes,No,Yes,Yes,Yes,available
12/1/2025 8:30:04,Pantyraiders9,Drafted Players,https://tracker.gg/smite2/profile/psn/PantyRaiders9/overview?gamemode=conquest-ranked&season=3,Pantyraiders9,Didn't Play,Gilgamesh,Jungle,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/7/2025 5:39:02,PHERN,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198337948551/matches?gamemode=conquest-ranked&season=3,PHERN (7526),Didn't Play,Ishtar,Jungle,Support,No,No,No,No,Yes,Yes,Yes,Yes,available
12/2/2025 18:14:30,PoppinNike,Drafted Players,https://tracker.gg/smite2/profile/xbl/PoppinNike/overview?gamemode=conquest-ranked&season=3,PoppinNike/Mr Smite Himself,Enkidu,Enkidu,Jungle,Fill,No,Yes,No,No,No,No,Yes,Yes,available
12/5/2025 8:30:14,PR1MAL,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199258969483/overview?gamemode=conquest-ranked&season=3,ix_pr1mal_xi,Gilgamesh,Enkidu,Jungle,Support,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 9:00:50,Pronugget01,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199009268916/overview?gamemode=conquest-ranked&season=3,Pronugget01,Didn't Play,Enkidu,Jungle,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 17:17:00,PunishedGray,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199762219496/overview?gamemode=conquest-ranked&season=3,great.gray,Tiamat ( vetted out),Tiamat,Jungle,ADC,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,available
12/2/2025 18:54:53,Rushology,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198281554892/gods?gamemode=conquest&season=3,Rushology,Didn't Play,Ishtar,Jungle,ADC,No,Yes,No,Yes,Yes,Yes,No,Yes,not available
12/5/2025 10:11:56,Sir_Scoobthy,Drafted Players,https://tracker.gg/smite2/profile/psn/Sir_Scoobthy/overview?gamemode=conquest-ranked&season=3,Sir_Scoobthy,Enkidu,Enkidu,Jungle,Mid,No,Yes,No,No,No,No,No,Yes,available
12/1/2025 9:01:00,Tekkno,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199049317354/overview?gamemode=conquest-ranked&season=3,Tekknoz,Ishtar,Tiamat,Jungle,Solo,No,No,No,No,No,Yes,Yes,Yes,available
12/1/2025 8:17:55,TestSubject,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198210646341/overview?gamemode=conquest-ranked&season=3,TestSubject,Didn't Play,Enkidu,Jungle,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 16:42:48,That Guy,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199200809860/overview?gamemode=conquest-ranked&season=3,WinnieThePooh,Didn't Play,Enkidu,Jungle,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/4/2025 10:16:40,thehofather,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199674200491/overview?gamemode=conquest-ranked&season=3,fatherlessho,Gilgamesh,Gilgamesh,Jungle,Mid,Yes,No,No,No,No,No,Yes,Yes,available
12/2/2025 15:17:53,TimmyTurntHer2,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199436215010/overview?gamemode=conquest-ranked&season=3,Based Black,Gilgamesh,Enkidu,Jungle,Support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/6/2025 14:58:53,Timone Thomas William Ludwick HQ,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198881624936/overview?gamemode=conquest-ranked&season=3,rimcleaner,Ishtar,Gilgamesh,Jungle,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
